Year,Month,Day,DOY
2005,2,4,35
2005,3,8,67
2005,4,9,99
2005,5,27,147
2005,8,15,227
2005,10,18,291
2005,11,3,307
2006,2,7,38
2006,4,28,118
2006,6,15,166
2006,7,1,182
2006,7,17,198
2006,8,18,230
2006,9,3,246
2006,9,19,262
2006,10,5,278
2006,11,22,326
2006,12,8,342
2007,1,9,9
2007,1,25,25
2007,2,10,41
2007,2,26,57
2008,1,28,28
2008,4,17,108
2008,5,19,140
2008,7,22,204
2008,9,24,268
2008,10,26,300
2008,12,29,364
2009,1,14,14
2009,1,30,30
2009,3,3,62
2009,3,19,78
2009,6,23,174
2009,7,9,190
2009,7,25,206
2009,8,26,238
2009,9,27,270
2010,2,18,49
2010,3,6,65
2010,8,13,225
2010,9,14,257
2010,9,30,273
2010,10,16,289
2010,11,17,321
2010,12,3,337
2010,12,19,353
2011,3,25,84
2011,5,28,148
2011,6,13,164
2011,10,3,276
